Channel,Visitors,Leads,Qualified,Customers
Facebook,2348,1087,463,167
Email,3314,1077,694,303
Google Ads,3874,1311,671,244
Organic,3778,1878,1047,401
Email,1752,350,151,40
Email,4481,1145,458,207
Organic,2622,826,488,160
Email,2650,1271,704,170
Organic,1829,404,233,93
Facebook,1858,376,239,63
Organic,2982,643,381,87
Organic,2517,570,257,117
Organic,1831,386,196,66
Email,4844,1666,1119,475
Email,4761,1781,1123,322
Organic,1858,523,296,129
Email,3677,1174,559,130
Google Ads,2628,597,292,89
Google Ads,2680,806,499,246
Email,637,227,148,64
Email,3972,1666,1001,349
Organic,3332,669,430,129
Facebook,4079,1387,873,403
Email,3531,1020,453,164
Google Ads,4664,2126,1120,478
Organic,3093,1282,571,243
Email,4800,1808,850,174
Google Ads,4318,1222,807,191
Google Ads,4638,2194,1188,472
Facebook,4323,923,517,128
Organic,4542,1057,479,132
Organic,2406,763,376,181
Facebook,1260,299,140,51
Facebook,3945,1920,886,376
Organic,1399,614,363,133
Organic,4955,1375,655,239
Email,3447,1298,765,174
Email,2219,1097,458,138
Facebook,780,362,160,45
Email,3766,1431,690,218
Google Ads,2387,1124,650,285
Email,3766,1870,1127,351
Email,1166,493,262,87
Google Ads,4688,1028,548,174
Facebook,1171,375,231,52
Google Ads,2469,1114,450,149
Email,4656,1253,629,162
Facebook,3622,1626,1049,268
Email,4400,1038,603,137
Google Ads,1023,219,109,33
Google Ads,2893,911,611,261
Email,3617,763,482,136
Organic,3093,1506,722,212
Organic,2468,1105,655,257
Google Ads,2253,991,573,148
Google Ads,2796,1087,565,265
Organic,2761,731,372,132
Organic,2786,990,498,166
Email,4702,1782,1042,382
Email,3378,1207,642,160
Organic,4643,1291,838,321
Email,4144,1469,882,272
Email,4932,1713,721,338
Facebook,2555,1274,754,188
Email,1776,833,400,140
Google Ads,3266,1107,639,242
Email,802,310,187,39
Email,1138,482,226,69
Organic,555,116,62,26
Google Ads,1025,480,219,97
Email,4623,2117,880,258
Email,2625,885,454,199
Facebook,3787,1201,611,299
Email,864,243,169,77
Email,2146,736,392,92
Facebook,1418,302,151,63
Organic,3297,1502,862,255
Email,2031,427,182,90
Facebook,3845,1148,790,273
Google Ads,2406,1153,680,160
Organic,3586,1508,944,394
Google Ads,2575,732,330,97
Google Ads,1213,334,174,86
Facebook,1562,314,165,81
Email,2476,1011,653,259
Facebook,1796,385,154,36
Facebook,625,224,109,44
Facebook,4096,2001,1389,316
Facebook,3783,880,477,99
Organic,2103,984,506,226
Email,566,281,122,32
Google Ads,732,159,110,34
Google Ads,2656,1234,501,246
Email,1669,592,367,110
Google Ads,2658,1254,790,228
Email,4706,1747,826,392
Google Ads,1993,794,477,111
Facebook,4507,1636,700,299
Google Ads,2972,1365,651,323
Email,3160,1327,844,397
Email,3239,1154,760,300
Email,2261,1041,606,178
Email,4014,1098,606,167
Email,2475,611,273,121
Organic,2862,710,297,137
Organic,1376,413,179,64
Google Ads,4312,1171,548,149
Email,3948,1891,950,222
Google Ads,1812,419,215,48
Email,1960,803,404,167
Email,3209,823,388,126
Organic,2824,1311,724,341
Organic,2233,1090,705,297
Facebook,2105,714,345,88
Organic,3063,1420,969,372
Facebook,3921,790,522,172
Facebook,4017,1791,803,299
Facebook,2897,778,494,208
Facebook,4235,2001,1145,505
Facebook,3370,675,384,173
Google Ads,1660,608,314,86
Organic,742,316,173,36
Facebook,3090,857,444,187
Email,1563,403,226,52
Organic,4824,1086,638,187
Organic,3095,922,555,111
Facebook,1419,522,292,118
Google Ads,505,118,72,18
Facebook,967,302,133,52
Google Ads,4670,946,438,217
Email,503,224,144,31
Organic,1145,273,135,30
Email,617,175,71,21
Google Ads,3428,704,314,144
Google Ads,3051,1005,469,124
Email,4789,2164,1487,458
Google Ads,1346,427,244,53
Email,3262,828,562,241
Organic,1641,699,400,128
Email,2310,1008,548,234
Organic,1223,308,152,71
Email,724,312,181,48
Google Ads,4708,2279,1006,444
Email,2548,636,425,92
Google Ads,4915,2119,1374,645
Email,2073,855,423,167
Email,2328,796,545,251
Facebook,2417,525,339,67
Google Ads,4734,1052,631,158
Facebook,2526,1151,502,159
Google Ads,4244,2109,1146,359
Facebook,1401,564,311,83
Organic,2539,847,397,124
Email,509,200,84,20
Google Ads,760,287,181,58
Google Ads,2173,684,298,131
Email,2719,597,345,118
Google Ads,2560,1142,777,159
Google Ads,4213,1312,869,283
Facebook,2119,944,456,94
Google Ads,820,226,148,72
Organic,1842,368,147,35
Organic,2876,712,288,118
Email,3332,1134,658,323
Google Ads,3324,1606,818,366
Email,2494,575,296,121
